step:69/1190 train_time:3211ms step_avg:46.54ms
step:70/1190 train_time:3257ms step_avg:46.52ms
step:71/1190 train_time:3293ms step_avg:46.38ms
step:72/1190 train_time:3339ms step_avg:46.37ms
step:73/1190 train_time:3374ms step_avg:46.22ms
step:74/1190 train_time:3421ms step_avg:46.23ms
step:75/1190 train_time:3455ms step_avg:46.07ms
step:76/1190 train_time:3504ms step_avg:46.11ms
step:77/1190 train_time:3537ms step_avg:45.93ms
step:78/1190 train_time:3583ms step_avg:45.94ms
step:79/1190 train_time:3618ms step_avg:45.80ms
step:80/1190 train_time:3666ms step_avg:45.83ms
step:81/1190 train_time:3701ms step_avg:45.69ms
step:82/1190 train_time:3747ms step_avg:45.69ms
step:83/1190 train_time:3782ms step_avg:45.56ms
step:84/1190 train_time:3829ms step_avg:45.58ms
step:85/1190 train_time:3863ms step_avg:45.45ms
step:86/1190 train_time:3911ms step_avg:45.47ms
step:87/1190 train_time:3945ms step_avg:45.34ms
step:88/1190 train_time:3991ms step_avg:45.35ms
step:89/1190 train_time:4027ms step_avg:45.25ms
step:90/1190 train_time:4073ms step_avg:45.25ms
step:91/1190 train_time:4108ms step_avg:45.14ms
step:92/1190 train_time:4154ms step_avg:45.15ms
step:93/1190 train_time:4189ms step_avg:45.05ms
step:94/1190 train_time:4235ms step_avg:45.06ms
step:95/1190 train_time:4271ms step_avg:44.96ms
step:96/1190 train_time:4317ms step_avg:44.97ms
step:97/1190 train_time:4353ms step_avg:44.88ms
step:98/1190 train_time:4399ms step_avg:44.89ms
step:99/1190 train_time:4435ms step_avg:44.79ms
step:100/1190 train_time:4480ms step_avg:44.80ms
step:101/1190 train_time:4516ms step_avg:44.72ms
step:102/1190 train_time:4563ms step_avg:44.74ms
step:103/1190 train_time:4598ms step_avg:44.64ms
step:104/1190 train_time:4645ms step_avg:44.66ms
step:105/1190 train_time:4679ms step_avg:44.57ms
step:106/1190 train_time:4726ms step_avg:44.59ms
step:107/1190 train_time:4761ms step_avg:44.50ms
step:108/1190 train_time:4808ms step_avg:44.52ms
step:109/1190 train_time:4843ms step_avg:44.43ms
step:110/1190 train_time:4890ms step_avg:44.45ms
step:111/1190 train_time:4925ms step_avg:44.37ms
step:112/1190 train_time:4970ms step_avg:44.38ms
step:113/1190 train_time:5006ms step_avg:44.30ms
step:114/1190 train_time:5052ms step_avg:44.31ms
step:115/1190 train_time:5087ms step_avg:44.24ms
step:116/1190 train_time:5133ms step_avg:44.25ms
step:117/1190 train_time:5169ms step_avg:44.18ms
step:118/1190 train_time:5215ms step_avg:44.19ms
step:119/1190 train_time:5250ms step_avg:44.12ms
step:120/1190 train_time:5296ms step_avg:44.14ms
step:121/1190 train_time:5332ms step_avg:44.06ms
step:122/1190 train_time:5378ms step_avg:44.08ms
step:123/1190 train_time:5414ms step_avg:44.01ms
step:124/1190 train_time:5460ms step_avg:44.03ms
step:125/1190 train_time:5495ms step_avg:43.96ms
step:126/1190 train_time:5543ms step_avg:43.99ms
step:127/1190 train_time:5577ms step_avg:43.92ms
step:128/1190 train_time:5624ms step_avg:43.93ms
step:129/1190 train_time:5660ms step_avg:43.87ms
step:130/1190 train_time:5705ms step_avg:43.89ms
step:131/1190 train_time:5741ms step_avg:43.83ms
step:132/1190 train_time:5787ms step_avg:43.84ms
step:133/1190 train_time:5822ms step_avg:43.78ms
step:134/1190 train_time:5868ms step_avg:43.79ms
step:135/1190 train_time:5904ms step_avg:43.73ms
step:136/1190 train_time:5950ms step_avg:43.75ms
step:137/1190 train_time:5985ms step_avg:43.69ms
step:138/1190 train_time:6032ms step_avg:43.71ms
step:139/1190 train_time:6067ms step_avg:43.64ms
step:140/1190 train_time:6113ms step_avg:43.67ms
step:141/1190 train_time:6148ms step_avg:43.60ms
step:142/1190 train_time:6194ms step_avg:43.62ms
step:143/1190 train_time:6230ms step_avg:43.57ms
step:144/1190 train_time:6275ms step_avg:43.58ms
step:145/1190 train_time:6312ms step_avg:43.53ms
step:146/1190 train_time:6357ms step_avg:43.54ms
step:147/1190 train_time:6393ms step_avg:43.49ms
step:148/1190 train_time:6439ms step_avg:43.51ms
step:149/1190 train_time:6475ms step_avg:43.46ms
step:150/1190 train_time:6521ms step_avg:43.47ms
step:151/1190 train_time:6557ms step_avg:43.42ms
step:152/1190 train_time:6603ms step_avg:43.44ms
step:153/1190 train_time:6639ms step_avg:43.39ms
step:154/1190 train_time:6684ms step_avg:43.40ms
step:155/1190 train_time:6720ms step_avg:43.35ms
step:156/1190 train_time:6766ms step_avg:43.37ms
step:157/1190 train_time:6802ms step_avg:43.32ms
step:158/1190 train_time:6849ms step_avg:43.35ms
step:159/1190 train_time:6883ms step_avg:43.29ms
step:160/1190 train_time:6929ms step_avg:43.31ms
step:161/1190 train_time:6965ms step_avg:43.26ms
step:162/1190 train_time:7010ms step_avg:43.27ms
step:163/1190 train_time:7046ms step_avg:43.23ms
step:164/1190 train_time:7092ms step_avg:43.25ms
step:165/1190 train_time:7127ms step_avg:43.20ms
step:166/1190 train_time:7173ms step_avg:43.21ms
step:167/1190 train_time:7209ms step_avg:43.17ms
step:168/1190 train_time:7255ms step_avg:43.19ms
step:169/1190 train_time:7290ms step_avg:43.14ms
step:170/1190 train_time:7337ms step_avg:43.16ms
step:171/1190 train_time:7371ms step_avg:43.11ms
step:172/1190 train_time:7419ms step_avg:43.13ms
step:173/1190 train_time:7453ms step_avg:43.08ms
step:174/1190 train_time:7499ms step_avg:43.10ms
step:175/1190 train_time:7535ms step_avg:43.06ms
step:176/1190 train_time:7581ms step_avg:43.07ms
step:177/1190 train_time:7616ms step_avg:43.03ms
step:178/1190 train_time:7662ms step_avg:43.05ms
step:179/1190 train_time:7698ms step_avg:43.01ms
step:180/1190 train_time:7745ms step_avg:43.03ms
step:181/1190 train_time:7779ms step_avg:42.98ms
step:182/1190 train_time:7826ms step_avg:43.00ms
step:183/1190 train_time:7861ms step_avg:42.96ms
step:184/1190 train_time:7907ms step_avg:42.97ms
step:185/1190 train_time:7942ms step_avg:42.93ms
step:186/1190 train_time:7989ms step_avg:42.95ms
step:187/1190 train_time:8024ms step_avg:42.91ms
step:188/1190 train_time:8070ms step_avg:42.93ms
step:189/1190 train_time:8105ms step_avg:42.88ms
step:190/1190 train_time:8153ms step_avg:42.91ms
step:191/1190 train_time:8187ms step_avg:42.86ms
step:192/1190 train_time:8233ms step_avg:42.88ms
step:193/1190 train_time:8268ms step_avg:42.84ms
step:194/1190 train_time:8315ms step_avg:42.86ms
step:195/1190 train_time:8350ms step_avg:42.82ms
step:196/1190 train_time:8396ms step_avg:42.84ms
step:197/1190 train_time:8431ms step_avg:42.80ms
step:198/1190 train_time:8480ms step_avg:42.83ms
step:199/1190 train_time:8514ms step_avg:42.78ms
step:200/1190 train_time:8560ms step_avg:42.80ms
step:201/1190 train_time:8595ms step_avg:42.76ms
step:202/1190 train_time:8642ms step_avg:42.78ms
step:203/1190 train_time:8677ms step_avg:42.74ms
step:204/1190 train_time:8723ms step_avg:42.76ms
step:205/1190 train_time:8758ms step_avg:42.72ms
step:206/1190 train_time:8804ms step_avg:42.74ms
step:207/1190 train_time:8840ms step_avg:42.70ms
step:208/1190 train_time:8886ms step_avg:42.72ms
step:209/1190 train_time:8922ms step_avg:42.69ms
step:210/1190 train_time:8968ms step_avg:42.71ms
step:211/1190 train_time:9003ms step_avg:42.67ms
step:212/1190 train_time:9049ms step_avg:42.68ms
step:213/1190 train_time:9084ms step_avg:42.65ms
step:214/1190 train_time:9130ms step_avg:42.66ms
step:215/1190 train_time:9165ms step_avg:42.63ms
step:216/1190 train_time:9212ms step_avg:42.65ms
step:217/1190 train_time:9247ms step_avg:42.61ms
step:218/1190 train_time:9293ms step_avg:42.63ms
step:219/1190 train_time:9329ms step_avg:42.60ms
step:220/1190 train_time:9375ms step_avg:42.62ms
step:221/1190 train_time:9410ms step_avg:42.58ms
step:222/1190 train_time:9456ms step_avg:42.60ms
step:223/1190 train_time:9491ms step_avg:42.56ms
step:224/1190 train_time:9537ms step_avg:42.58ms
step:225/1190 train_time:9572ms step_avg:42.54ms
step:226/1190 train_time:9618ms step_avg:42.56ms
step:227/1190 train_time:9654ms step_avg:42.53ms
step:228/1190 train_time:9700ms step_avg:42.55ms
step:229/1190 train_time:9736ms step_avg:42.51ms
step:230/1190 train_time:9781ms step_avg:42.53ms
step:231/1190 train_time:9817ms step_avg:42.50ms
step:232/1190 train_time:9863ms step_avg:42.51ms
step:233/1190 train_time:9898ms step_avg:42.48ms
step:234/1190 train_time:9945ms step_avg:42.50ms
step:235/1190 train_time:9980ms step_avg:42.47ms
step:236/1190 train_time:10027ms step_avg:42.49ms
step:237/1190 train_time:10062ms step_avg:42.46ms
step:238/1190 train_time:10108ms step_avg:42.47ms
step:239/1190 train_time:10144ms step_avg:42.44ms
step:240/1190 train_time:10189ms step_avg:42.46ms
step:241/1190 train_time:10226ms step_avg:42.43ms
step:242/1190 train_time:10271ms step_avg:42.44ms
step:243/1190 train_time:10306ms step_avg:42.41ms
step:244/1190 train_time:10352ms step_avg:42.43ms
step:245/1190 train_time:10388ms step_avg:42.40ms
step:246/1190 train_time:10433ms step_avg:42.41ms
step:247/1190 train_time:10469ms step_avg:42.38ms
step:248/1190 train_time:10514ms step_avg:42.40ms
step:249/1190 train_time:10551ms step_avg:42.37ms
step:250/1190 train_time:10596ms step_avg:42.39ms
step:250/1190 val_loss:4.38765001 train_time:10636ms step_avg:42.55ms
step:251/1190 train_time:10665ms step_avg:42.49ms
step:252/1190 train_time:10697ms step_avg:42.45ms
step:253/1190 train_time:10722ms step_avg:42.38ms
step:254/1190 train_time:10765ms step_avg:42.38ms
step:255/1190 train_time:10803ms step_avg:42.37ms
step:256/1190 train_time:10852ms step_avg:42.39ms
step:257/1190 train_time:10888ms step_avg:42.36ms
step:258/1190 train_time:10935ms step_avg:42.39ms
