step:69/1190 train_time:3114ms step_avg:45.13ms
step:70/1190 train_time:3160ms step_avg:45.15ms
step:71/1190 train_time:3196ms step_avg:45.01ms
step:72/1190 train_time:3242ms step_avg:45.02ms
step:73/1190 train_time:3277ms step_avg:44.89ms
step:74/1190 train_time:3323ms step_avg:44.91ms
step:75/1190 train_time:3359ms step_avg:44.78ms
step:76/1190 train_time:3405ms step_avg:44.81ms
step:77/1190 train_time:3440ms step_avg:44.68ms
step:78/1190 train_time:3488ms step_avg:44.71ms
step:79/1190 train_time:3522ms step_avg:44.58ms
step:80/1190 train_time:3568ms step_avg:44.60ms
step:81/1190 train_time:3604ms step_avg:44.49ms
step:82/1190 train_time:3650ms step_avg:44.51ms
step:83/1190 train_time:3685ms step_avg:44.40ms
step:84/1190 train_time:3732ms step_avg:44.42ms
step:85/1190 train_time:3767ms step_avg:44.32ms
step:86/1190 train_time:3812ms step_avg:44.33ms
step:87/1190 train_time:3849ms step_avg:44.24ms
step:88/1190 train_time:3894ms step_avg:44.25ms
step:89/1190 train_time:3930ms step_avg:44.15ms
step:90/1190 train_time:3976ms step_avg:44.18ms
step:91/1190 train_time:4011ms step_avg:44.07ms
step:92/1190 train_time:4058ms step_avg:44.10ms
step:93/1190 train_time:4093ms step_avg:44.01ms
step:94/1190 train_time:4139ms step_avg:44.03ms
step:95/1190 train_time:4174ms step_avg:43.94ms
step:96/1190 train_time:4220ms step_avg:43.96ms
step:97/1190 train_time:4255ms step_avg:43.87ms
step:98/1190 train_time:4302ms step_avg:43.90ms
step:99/1190 train_time:4337ms step_avg:43.81ms
step:100/1190 train_time:4384ms step_avg:43.84ms
step:101/1190 train_time:4418ms step_avg:43.75ms
step:102/1190 train_time:4465ms step_avg:43.78ms
step:103/1190 train_time:4500ms step_avg:43.69ms
step:104/1190 train_time:4547ms step_avg:43.72ms
step:105/1190 train_time:4582ms step_avg:43.64ms
step:106/1190 train_time:4629ms step_avg:43.67ms
step:107/1190 train_time:4663ms step_avg:43.58ms
step:108/1190 train_time:4710ms step_avg:43.61ms
step:109/1190 train_time:4745ms step_avg:43.53ms
step:110/1190 train_time:4792ms step_avg:43.56ms
step:111/1190 train_time:4826ms step_avg:43.48ms
step:112/1190 train_time:4873ms step_avg:43.51ms
step:113/1190 train_time:4908ms step_avg:43.43ms
step:114/1190 train_time:4954ms step_avg:43.46ms
step:115/1190 train_time:4989ms step_avg:43.38ms
step:116/1190 train_time:5035ms step_avg:43.40ms
step:117/1190 train_time:5072ms step_avg:43.35ms
step:118/1190 train_time:5117ms step_avg:43.36ms
step:119/1190 train_time:5152ms step_avg:43.30ms
step:120/1190 train_time:5198ms step_avg:43.32ms
step:121/1190 train_time:5234ms step_avg:43.25ms
step:122/1190 train_time:5280ms step_avg:43.28ms
step:123/1190 train_time:5315ms step_avg:43.21ms
step:124/1190 train_time:5362ms step_avg:43.25ms
step:125/1190 train_time:5397ms step_avg:43.18ms
step:126/1190 train_time:5445ms step_avg:43.21ms
step:127/1190 train_time:5480ms step_avg:43.15ms
step:128/1190 train_time:5525ms step_avg:43.17ms
step:129/1190 train_time:5561ms step_avg:43.11ms
step:130/1190 train_time:5607ms step_avg:43.13ms
step:131/1190 train_time:5642ms step_avg:43.07ms
step:132/1190 train_time:5689ms step_avg:43.10ms
step:133/1190 train_time:5724ms step_avg:43.03ms
step:134/1190 train_time:5770ms step_avg:43.06ms
step:135/1190 train_time:5805ms step_avg:43.00ms
step:136/1190 train_time:5852ms step_avg:43.03ms
step:137/1190 train_time:5886ms step_avg:42.97ms
step:138/1190 train_time:5933ms step_avg:42.99ms
step:139/1190 train_time:5968ms step_avg:42.94ms
step:140/1190 train_time:6015ms step_avg:42.96ms
step:141/1190 train_time:6050ms step_avg:42.91ms
step:142/1190 train_time:6096ms step_avg:42.93ms
step:143/1190 train_time:6131ms step_avg:42.87ms
step:144/1190 train_time:6177ms step_avg:42.89ms
step:145/1190 train_time:6212ms step_avg:42.84ms
step:146/1190 train_time:6258ms step_avg:42.86ms
step:147/1190 train_time:6294ms step_avg:42.81ms
step:148/1190 train_time:6339ms step_avg:42.83ms
step:149/1190 train_time:6376ms step_avg:42.79ms
step:150/1190 train_time:6422ms step_avg:42.81ms
step:151/1190 train_time:6458ms step_avg:42.77ms
step:152/1190 train_time:6504ms step_avg:42.79ms
step:153/1190 train_time:6539ms step_avg:42.74ms
step:154/1190 train_time:6586ms step_avg:42.77ms
step:155/1190 train_time:6621ms step_avg:42.72ms
step:156/1190 train_time:6669ms step_avg:42.75ms
step:157/1190 train_time:6703ms step_avg:42.69ms
step:158/1190 train_time:6749ms step_avg:42.72ms
step:159/1190 train_time:6785ms step_avg:42.67ms
step:160/1190 train_time:6830ms step_avg:42.69ms
step:161/1190 train_time:6866ms step_avg:42.65ms
step:162/1190 train_time:6912ms step_avg:42.67ms
step:163/1190 train_time:6948ms step_avg:42.62ms
step:164/1190 train_time:6993ms step_avg:42.64ms
step:165/1190 train_time:7029ms step_avg:42.60ms
step:166/1190 train_time:7075ms step_avg:42.62ms
step:167/1190 train_time:7109ms step_avg:42.57ms
step:168/1190 train_time:7155ms step_avg:42.59ms
step:169/1190 train_time:7192ms step_avg:42.55ms
step:170/1190 train_time:7237ms step_avg:42.57ms
step:171/1190 train_time:7273ms step_avg:42.53ms
step:172/1190 train_time:7318ms step_avg:42.55ms
step:173/1190 train_time:7354ms step_avg:42.51ms
step:174/1190 train_time:7400ms step_avg:42.53ms
step:175/1190 train_time:7436ms step_avg:42.49ms
step:176/1190 train_time:7481ms step_avg:42.51ms
step:177/1190 train_time:7518ms step_avg:42.47ms
step:178/1190 train_time:7563ms step_avg:42.49ms
step:179/1190 train_time:7599ms step_avg:42.45ms
step:180/1190 train_time:7645ms step_avg:42.47ms
step:181/1190 train_time:7680ms step_avg:42.43ms
step:182/1190 train_time:7726ms step_avg:42.45ms
step:183/1190 train_time:7762ms step_avg:42.41ms
step:184/1190 train_time:7809ms step_avg:42.44ms
step:185/1190 train_time:7844ms step_avg:42.40ms
step:186/1190 train_time:7889ms step_avg:42.42ms
step:187/1190 train_time:7926ms step_avg:42.38ms
step:188/1190 train_time:7971ms step_avg:42.40ms
step:189/1190 train_time:8006ms step_avg:42.36ms
step:190/1190 train_time:8052ms step_avg:42.38ms
step:191/1190 train_time:8088ms step_avg:42.34ms
step:192/1190 train_time:8133ms step_avg:42.36ms
step:193/1190 train_time:8169ms step_avg:42.33ms
step:194/1190 train_time:8215ms step_avg:42.34ms
step:195/1190 train_time:8251ms step_avg:42.31ms
